A:group1,B:group2,C:test,D:corr,E:counts,F:mean,G:std,H:corr_w_1
white_econ_ok,male,math,-0.372,136,-14.723,14.631,0.291
white_econ_ok,white,math,-0.230,139,-5.364,7.008,0.314
white_econ_ok,white_econ_dis,math,-0.141,102,-10.470,10.579,0.406
white_econ_ok,white_econ_ok,math,nan,139,0.000,0.000,0.314
afam,afam,ela,nan,176,0.000,0.000,-0.380
afam,afam_econ_dis,ela,0.129,133,-2.225,5.380,-0.368
afam,afam_econ_ok,ela,-0.131,93,3.256,5.941,-0.287
afam,all,ela,0.024,176,6.590,9.652,-0.380
afam,asian,ela,0.139,103,23.811,12.048,-0.363
afam,asian_econ_dis,ela,0.207,72,19.202,15.995,-0.427
afam,asian_econ_ok,ela,0.282,76,30.111,14.058,-0.315
afam,econ_dis,ela,0.381,176,1.681,10.121,-0.380
afam,econ_ok,ela,0.002,154,12.886,11.597,-0.356
afam,female,ela,-0.020,172,8.674,10.389,-0.377
afam,hispanic,ela,0.225,174,1.640,8.850,-0.372
afam,hispanic_econ_dis,ela,0.411,169,-1.006,10.029,-0.368
afam,hispanic_econ_ok,ela,0.028,143,6.228,10.271,-0.351
afam,male,ela,0.100,174,4.689,9.445,-0.372
afam,white,ela,0.347,110,18.449,13.938,-0.191
afam,white_econ_dis,ela,0.417,88,7.378,14.343,-0.132
afam,white_econ_ok,ela,0.465,98,23.540,14.607,-0.126
afam_econ_dis,afam,ela,-0.129,133,2.225,5.380,-0.332
afam_econ_dis,afam_econ_dis,ela,nan,133,0.000,0.000,-0.332
afam_econ_dis,afam_econ_ok,ela,-0.197,69,6.499,10.114,-0.191
afam_econ_dis,all,ela,0.042,133,7.879,10.870,-0.332
afam_econ_dis,asian,ela,0.123,66,28.864,13.337,-0.393
afam_econ_dis,asian_econ_dis,ela,0.158,55,24.999,16.777,-0.447
afam_econ_dis,asian_econ_ok,ela,0.272,44,38.726,14.724,-0.408
afam_econ_dis,econ_dis,ela,0.203,133,4.939,10.024,-0.332
afam_econ_dis,econ_ok,ela,-0.022,113,15.192,13.898,-0.347
afam_econ_dis,female,ela,0.011,130,9.942,11.597,-0.338
afam_econ_dis,hispanic,ela,0.123,132,4.373,9.694,-0.329
afam_econ_dis,hispanic_econ_dis,ela,0.213,132,3.117,9.858,-0.329
afam_econ_dis,hispanic_econ_ok,ela,-0.023,105,9.250,11.619,-0.323
afam_econ_dis,male,ela,0.114,131,6.235,10.561,-0.325
afam_econ_dis,white,ela,0.345,74,24.157,16.343,-0.252
afam_econ_dis,white_econ_dis,ela,0.355,60,14.240,15.277,-0.178
afam_econ_dis,white_econ_ok,ela,0.435,63,31.111,16.933,-0.205
afam_econ_ok,afam,ela,0.131,93,-3.256,5.941,-0.303
afam_econ_ok,afam_econ_dis,ela,0.197,69,-6.499,10.114,-0.264
afam_econ_ok,afam_econ_ok,ela,nan,93,0.000,0.000,-0.303
afam_econ_ok,all,ela,0.064,93,5.082,10.427,-0.303
afam_econ_ok,asian,ela,0.061,67,19.844,12.399,-0.326
afam_econ_ok,asian_econ_dis,ela,0.067,44,14.777,17.230,-0.315
afam_econ_ok,asian_econ_ok,ela,0.185,58,24.339,13.501,-0.303
afam_econ_ok,econ_dis,ela,0.377,93,-2.378,12.575,-0.303
afam_econ_ok,econ_ok,ela,0.053,93,10.164,10.668,-0.303
afam_econ_ok,female,ela,0.011,93,7.657,10.641,-0.303
afam_econ_ok,hispanic,ela,0.237,93,-1.529,10.738,-0.303
afam_econ_ok,hispanic_econ_dis,ela,0.395,89,-5.076,12.988,-0.294
afam_econ_ok,hispanic_econ_ok,ela,0.074,90,2.091,11.117,-0.344
afam_econ_ok,male,ela,0.106,93,2.580,10.484,-0.303
afam_econ_ok,white,ela,0.395,72,16.864,12.350,-0.267
afam_econ_ok,white_econ_dis,ela,0.500,57,4.025,12.669,-0.236
afam_econ_ok,white_econ_ok,ela,0.468,68,20.506,13.113,-0.210
all,afam,ela,-0.024,176,-6.590,9.652,-0.342
all,afam_econ_dis,ela,-0.042,133,-7.879,10.870,-0.296
all,afam_econ_ok,ela,-0.064,93,-5.082,10.427,-0.268
all,all,ela,nan,422,0.000,0.000,-0.201
all,asian,ela,0.064,146,14.747,10.243,-0.447
all,asian_econ_dis,ela,0.079,105,12.136,13.659,-0.413
all,asian_econ_ok,ela,0.150,97,18.689,11.326,-0.325
all,econ_dis,ela,0.426,400,-3.196,5.750,-0.227
all,econ_ok,ela,-0.075,275,5.659,6.675,-0.219
all,female,ela,-0.097,371,1.683,3.910,-0.286
all,hispanic,ela,0.270,393,-3.542,5.679,-0.248
all,hispanic_econ_dis,ela,0.382,372,-4.791,7.768,-0.226
all,hispanic_econ_ok,ela,-0.005,227,0.283,8.240,-0.242
all,male,ela,0.131,394,-1.648,3.482,-0.227
all,white,ela,0.261,178,8.293,10.185,0.033
all,white_econ_dis,ela,0.337,118,0.070,12.665,-0.099
all,white_econ_ok,ela,0.390,139,12.491,11.899,-0.007
asian,afam,ela,-0.139,103,-23.811,12.048,-0.277
asian,afam_econ_dis,ela,-0.123,66,-28.864,13.337,-0.295
asian,afam_econ_ok,ela,-0.061,67,-19.844,12.399,-0.305
asian,all,ela,-0.064,146,-14.747,10.243,-0.418
asian,asian,ela,nan,146,0.000,0.000,-0.418
asian,asian_econ_dis,ela,0.162,105,-3.746,6.890,-0.403
asian,asian_econ_ok,ela,0.293,97,4.989,6.604,-0.395
asian,econ_dis,ela,0.316,144,-21.533,11.501,-0.406
asian,econ_ok,ela,-0.027,137,-7.948,9.467,-0.375
asian,female,ela,-0.090,146,-12.257,10.138,-0.418
asian,hispanic,ela,0.037,146,-22.468,10.796,-0.418
asian,hispanic_econ_dis,ela,0.305,136,-26.489,11.958,-0.401
asian,hispanic_econ_ok,ela,-0.072,131,-17.430,10.037,-0.335
asian,male,ela,-0.034,146,-17.207,10.651,-0.418
asian,white,ela,0.239,117,-5.365,12.291,-0.252
asian,white_econ_dis,ela,0.459,89,-16.864,13.585,-0.258
asian,white_econ_ok,ela,0.316,106,-0.788,12.582,-0.198
asian_econ_dis,afam,ela,-0.207,72,-19.202,15.995,-0.250
asian_econ_dis,afam_econ_dis,ela,-0.158,55,-24.999,16.777,-0.287
asian_econ_dis,afam_econ_ok,ela,-0.067,44,-14.777,17.230,-0.261
asian_econ_dis,all,ela,-0.079,105,-12.136,13.659,-0.342
asian_econ_dis,asian,ela,-0.162,105,3.746,6.890,-0.342
asian_econ_dis,asian_econ_dis,ela,nan,105,0.000,0.000,-0.342
asian_econ_dis,asian_econ_ok,ela,0.132,68,11.726,10.648,-0.408
asian_econ_dis,econ_dis,ela,0.105,105,-16.759,12.522,-0.342
asian_econ_dis,econ_ok,ela,-0.101,96,-4.136,14.186,-0.299
asian_econ_dis,female,ela,-0.090,105,-9.656,13.619,-0.342
asian_econ_dis,hispanic,ela,-0.040,105,-19.803,12.967,-0.342
asian_econ_dis,hispanic_econ_dis,ela,0.087,103,-22.479,12.813,-0.344
asian_econ_dis,hispanic_econ_ok,ela,-0.177,91,-14.295,13.824,-0.230
asian_econ_dis,male,ela,-0.066,105,-14.528,13.910,-0.342
asian_econ_dis,white,ela,0.233,77,-0.323,15.439,-0.155
asian_econ_dis,white_econ_dis,ela,0.362,60,-10.893,14.893,-0.151
asian_econ_dis,white_econ_ok,ela,0.266,68,6.343,15.978,-0.159
asian_econ_ok,afam,ela,-0.282,76,-30.111,14.058,-0.128
asian_econ_ok,afam_econ_dis,ela,-0.272,44,-38.726,14.724,-0.277
asian_econ_ok,afam_econ_ok,ela,-0.185,58,-24.339,13.501,-0.222
asian_econ_ok,all,ela,-0.150,97,-18.689,11.326,-0.256
asian_econ_ok,asian,ela,-0.293,97,-4.989,6.604,-0.256
asian_econ_ok,asian_econ_dis,ela,-0.132,68,-11.726,10.648,-0.347
asian_econ_ok,asian_econ_ok,ela,nan,97,0.000,0.000,-0.256
asian_econ_ok,econ_dis,ela,0.211,95,-28.321,11.701,-0.243
asian_econ_ok,econ_ok,ela,-0.044,97,-11.231,8.492,-0.256
asian_econ_ok,female,ela,-0.176,97,-15.811,11.427,-0.256
asian_econ_ok,hispanic,ela,-0.152,97,-28.765,12.014,-0.256
asian_econ_ok,hispanic_econ_dis,ela,0.082,89,-34.755,11.887,-0.261
asian_econ_ok,hispanic_econ_ok,ela,-0.123,93,-21.882,10.424,-0.256
asian_econ_ok,male,ela,-0.122,97,-21.527,11.365,-0.256
asian_econ_ok,white,ela,0.166,91,-10.739,11.554,-0.107
asian_econ_ok,white_econ_dis,ela,0.397,70,-22.963,12.820,-0.072
asian_econ_ok,white_econ_ok,ela,0.408,85,-5.517,9.650,-0.114
econ_dis,afam,ela,-0.381,176,-1.681,10.121,-0.225
econ_dis,afam_econ_dis,ela,-0.203,133,-4.939,10.024,-0.246
econ_dis,afam_econ_ok,ela,-0.377,93,2.378,12.575,-0.106
econ_dis,all,ela,-0.426,400,3.196,5.750,-0.142
econ_dis,asian,ela,-0.316,144,21.533,11.501,-0.240
econ_dis,asian_econ_dis,ela,-0.105,105,16.759,12.522,-0.317
econ_dis,asian_econ_ok,ela,-0.211,95,28.321,11.701,-0.053
econ_dis,econ_dis,ela,nan,400,0.000,0.000,-0.142
econ_dis,econ_ok,ela,-0.349,263,10.603,10.208,-0.107
econ_dis,female,ela,-0.415,364,5.235,7.809,-0.183
econ_dis,hispanic,ela,-0.224,388,-0.240,4.828,-0.156
econ_dis,hispanic_econ_dis,ela,0.133,372,-1.843,4.196,-0.138
econ_dis,hispanic_econ_ok,ela,-0.343,225,5.478,9.194,-0.111
econ_dis,male,ela,-0.366,386,1.593,5.847,-0.143
econ_dis,white,ela,-0.006,169,15.738,11.430,0.127
econ_dis,white_econ_dis,ela,0.151,118,7.395,10.207,0.082
econ_dis,white_econ_ok,ela,0.126,132,21.592,11.909,0.129
econ_ok,afam,ela,-0.002,154,-12.886,11.597,-0.302
econ_ok,afam_econ_dis,ela,0.022,113,-15.192,13.898,-0.304
econ_ok,afam_econ_ok,ela,-0.053,93,-10.164,10.668,-0.250
econ_ok,all,ela,0.075,275,-5.659,6.675,-0.226
econ_ok,asian,ela,0.027,137,7.948,9.467,-0.382
econ_ok,asian_econ_dis,ela,0.101,96,4.136,14.186,-0.374
econ_ok,asian_econ_ok,ela,0.044,97,11.231,8.492,-0.268
econ_ok,econ_dis,ela,0.349,263,-10.603,10.208,-0.232
econ_ok,econ_ok,ela,nan,275,0.000,0.000,-0.226
econ_ok,female,ela,0.095,269,-3.863,6.825,-0.238
econ_ok,hispanic,ela,0.192,264,-10.919,10.096,-0.222
econ_ok,hispanic_econ_dis,ela,0.318,243,-13.435,12.325,-0.217
econ_ok,hispanic_econ_ok,ela,0.011,227,-5.717,7.948,-0.232
econ_ok,male,ela,0.127,268,-7.684,7.547,-0.232
econ_ok,white,ela,0.212,170,1.534,9.274,0.019
econ_ok,white_econ_dis,ela,0.298,115,-8.047,12.726,-0.039
econ_ok,white_econ_ok,ela,0.373,139,5.438,8.985,0.069
female,afam,ela,0.020,172,-8.674,10.389,-0.343
female,afam_econ_dis,ela,-0.011,130,-9.942,11.597,-0.307
female,afam_econ_ok,ela,-0.011,93,-7.657,10.641,-0.287
female,all,ela,0.097,371,-1.683,3.910,-0.289
female,asian,ela,0.090,146,12.257,10.138,-0.456
female,asian_econ_dis,ela,0.090,105,9.656,13.619,-0.421
female,asian_econ_ok,ela,0.176,97,15.811,11.427,-0.349
female,econ_dis,ela,0.415,364,-5.235,7.809,-0.286
female,econ_ok,ela,-0.095,269,3.863,6.825,-0.218
female,female,ela,nan,371,0.000,0.000,-0.289
female,hispanic,ela,0.252,362,-5.443,7.287,-0.266
female,hispanic_econ_dis,ela,0.374,342,-6.905,9.290,-0.251
female,hispanic_econ_ok,ela,0.008,227,-1.879,9.092,-0.238
female,male,ela,0.113,361,-3.515,6.854,-0.277
female,white,ela,0.241,173,6.205,10.568,-0.029
female,white_econ_dis,ela,0.317,118,-2.593,13.301,-0.093
female,white_econ_ok,ela,0.322,137,10.368,11.680,0.002
hispanic,afam,ela,-0.225,174,-1.640,8.850,-0.300
hispanic,afam_econ_dis,ela,-0.123,132,-4.373,9.694,-0.289
hispanic,afam_econ_ok,ela,-0.237,93,1.529,10.738,-0.217
hispanic,all,ela,-0.270,393,3.542,5.679,-0.207
hispanic,asian,ela,-0.037,146,22.468,10.796,-0.425
hispanic,asian_econ_dis,ela,0.040,105,19.803,12.967,-0.425
hispanic,asian_econ_ok,ela,0.152,97,28.765,12.014,-0.335
hispanic,econ_dis,ela,0.224,388,0.240,4.828,-0.206
hispanic,econ_ok,ela,-0.192,264,10.919,10.096,-0.172
hispanic,female,ela,-0.252,362,5.443,7.287,-0.226
hispanic,hispanic,ela,nan,393,0.000,0.000,-0.207
hispanic,hispanic_econ_dis,ela,0.402,372,-1.494,3.613,-0.183
hispanic,hispanic_econ_ok,ela,-0.185,227,5.249,7.058,-0.213
hispanic,male,ela,-0.183,383,1.878,5.704,-0.203
hispanic,white,ela,0.158,166,15.976,11.802,0.001
hispanic,white_econ_dis,ela,0.362,115,6.565,12.556,-0.100
hispanic,white_econ_ok,ela,0.368,132,21.116,12.792,-0.038
hispanic_econ_dis,afam,ela,-0.411,169,1.006,10.029,-0.209
hispanic_econ_dis,afam_econ_dis,ela,-0.213,132,-3.117,9.858,-0.254
hispanic_econ_dis,afam_econ_ok,ela,-0.395,89,5.076,12.988,-0.078
hispanic_econ_dis,all,ela,-0.382,372,4.791,7.768,-0.118
hispanic_econ_dis,asian,ela,-0.305,136,26.489,11.958,-0.255
hispanic_econ_dis,asian_econ_dis,ela,-0.087,103,22.479,12.813,-0.366
hispanic_econ_dis,asian_econ_ok,ela,-0.082,89,34.755,11.887,-0.180
hispanic_econ_dis,econ_dis,ela,-0.133,372,1.843,4.196,-0.118
hispanic_econ_dis,econ_ok,ela,-0.318,243,13.435,12.325,-0.073
hispanic_econ_dis,female,ela,-0.374,342,6.905,9.290,-0.133
hispanic_econ_dis,hispanic,ela,-0.402,372,1.494,3.613,-0.118
hispanic_econ_dis,hispanic_econ_dis,ela,nan,372,0.000,0.000,-0.118
hispanic_econ_dis,hispanic_econ_ok,ela,-0.363,216,8.082,9.535,-0.106
hispanic_econ_dis,male,ela,-0.327,364,3.204,7.654,-0.107
hispanic_econ_dis,white,ela,-0.005,151,20.276,12.372,0.119
hispanic_econ_dis,white_econ_dis,ela,0.195,110,11.085,11.352,0.087
hispanic_econ_dis,white_econ_ok,ela,0.209,118,26.943,12.247,0.111
hispanic_econ_ok,afam,ela,-0.028,143,-6.228,10.271,-0.325
hispanic_econ_ok,afam_econ_dis,ela,0.023,105,-9.250,11.619,-0.309
hispanic_econ_ok,afam_econ_ok,ela,-0.074,90,-2.091,11.117,-0.313
hispanic_econ_ok,all,ela,0.005,227,-0.283,8.240,-0.255
hispanic_econ_ok,asian,ela,0.072,131,17.430,10.037,-0.393
hispanic_econ_ok,asian_econ_dis,ela,0.177,91,14.295,13.824,-0.394
hispanic_econ_ok,asian_econ_ok,ela,0.123,93,21.882,10.424,-0.338
hispanic_econ_ok,econ_dis,ela,0.343,225,-5.478,9.194,-0.245
hispanic_econ_ok,econ_ok,ela,-0.011,227,5.717,7.948,-0.255
hispanic_econ_ok,female,ela,-0.008,227,1.879,9.092,-0.255
hispanic_econ_ok,hispanic,ela,0.185,227,-5.249,7.058,-0.255
hispanic_econ_ok,hispanic_econ_dis,ela,0.363,216,-8.082,9.535,-0.255
hispanic_econ_ok,hispanic_econ_ok,ela,nan,227,0.000,0.000,-0.255
hispanic_econ_ok,male,ela,0.026,227,-2.397,8.091,-0.255
hispanic_econ_ok,white,ela,0.309,149,9.784,12.404,-0.148
hispanic_econ_ok,white_econ_dis,ela,0.446,106,-1.160,14.241,-0.238
hispanic_econ_ok,white_econ_ok,ela,0.455,124,14.882,12.856,-0.148
male,afam,ela,-0.100,174,-4.689,9.445,-0.316
male,afam_econ_dis,ela,-0.114,131,-6.235,10.561,-0.264
male,afam_econ_ok,ela,-0.106,93,-2.580,10.484,-0.253
male,all,ela,-0.131,394,1.648,3.482,-0.213
male,asian,ela,0.034,146,17.207,10.651,-0.433
male,asian_econ_dis,ela,0.066,105,14.528,13.910,-0.404
male,asian_econ_ok,ela,0.122,97,21.527,11.365,-0.301
male,econ_dis,ela,0.366,386,-1.593,5.847,-0.221
male,econ_ok,ela,-0.127,268,7.684,7.547,-0.209
male,female,ela,-0.113,361,3.515,6.854,-0.262
male,hispanic,ela,0.183,383,-1.878,5.704,-0.230
male,hispanic_econ_dis,ela,0.327,364,-3.204,7.654,-0.203
male,hispanic_econ_ok,ela,-0.026,227,2.397,8.091,-0.240
male,male,ela,nan,394,0.000,0.000,-0.213
male,white,ela,0.182,173,10.947,10.814,0.033
male,white_econ_dis,ela,0.358,118,2.528,12.268,-0.107
male,white_econ_ok,ela,0.333,136,15.387,12.117,-0.015
white,afam,ela,-0.347,110,-18.449,13.938,0.099
white,afam_econ_dis,ela,-0.345,74,-24.157,16.343,0.087
white,afam_econ_ok,ela,-0.395,72,-16.864,12.350,0.019
white,all,ela,-0.261,178,-8.293,10.185,0.166
white,asian,ela,-0.239,117,5.365,12.291,-0.074
white,asian_econ_dis,ela,-0.233,77,0.323,15.439,0.090
white,asian_econ_ok,ela,-0.166,91,10.739,11.554,0.071
white,econ_dis,ela,0.006,169,-15.738,11.430,0.112
white,econ_ok,ela,-0.212,170,-1.534,9.274,0.125
white,female,ela,-0.241,173,-6.205,10.568,0.102
white,hispanic,ela,-0.158,166,-15.976,11.802,0.096
white,hispanic_econ_dis,ela,0.005,151,-20.276,12.372,0.100
white,hispanic_econ_ok,ela,-0.309,149,-9.784,12.404,0.067
white,male,ela,-0.182,173,-10.947,10.814,0.133
white,white,ela,nan,178,0.000,0.000,0.166
white,white_econ_dis,ela,0.179,118,-9.135,9.151,0.070
white,white_econ_ok,ela,0.153,139,3.819,5.597,0.221
white_econ_dis,afam,ela,-0.417,88,-7.378,14.343,0.320
white_econ_dis,afam_econ_dis,ela,-0.355,60,-14.240,15.277,0.232
white_econ_dis,afam_econ_ok,ela,-0.500,57,-4.025,12.669,0.278
white_econ_dis,all,ela,-0.337,118,-0.070,12.665,0.187
white_econ_dis,asian,ela,-0.459,89,16.864,13.585,0.231
white_econ_dis,asian_econ_dis,ela,-0.362,60,10.893,14.893,0.288
white_econ_dis,asian_econ_ok,ela,-0.397,70,22.963,12.820,0.381
white_econ_dis,econ_dis,ela,-0.151,118,-7.395,10.207,0.187
white_econ_dis,econ_ok,ela,-0.298,115,8.047,12.726,0.229
white_econ_dis,female,ela,-0.317,118,2.593,13.301,0.187
white_econ_dis,hispanic,ela,-0.362,115,-6.565,12.556,0.214
white_econ_dis,hispanic_econ_dis,ela,-0.195,110,-11.085,11.352,0.239
white_econ_dis,hispanic_econ_ok,ela,-0.446,106,1.160,14.241,0.231
white_econ_dis,male,ela,-0.358,118,-2.528,12.268,0.187
white_econ_dis,white,ela,-0.179,118,9.135,9.151,0.187
white_econ_dis,white_econ_dis,ela,nan,118,0.000,0.000,0.187
white_econ_dis,white_econ_ok,ela,-0.017,102,15.770,9.270,0.299
white_econ_ok,afam,ela,-0.465,98,-23.540,14.607,0.324
white_econ_ok,afam_econ_dis,ela,-0.435,63,-31.111,16.933,0.299
white_econ_ok,afam_econ_ok,ela,-0.468,68,-20.506,13.113,0.236
white_econ_ok,all,ela,-0.390,139,-12.491,11.899,0.265
white_econ_ok,asian,ela,-0.316,106,0.788,12.582,0.083
white_econ_ok,asian_econ_dis,ela,-0.266,68,-6.343,15.978,0.140
white_econ_ok,asian_econ_ok,ela,-0.408,85,5.517,9.650,0.281
white_econ_ok,econ_dis,ela,-0.126,132,-21.592,11.909,0.224
white_econ_ok,econ_ok,ela,-0.373,139,-5.438,8.985,0.265
white_econ_ok,female,ela,-0.322,137,-10.368,11.680,0.225
white_econ_ok,hispanic,ela,-0.368,132,-21.116,12.792,0.240
white_econ_ok,hispanic_econ_dis,ela,-0.209,118,-26.943,12.247,0.276
white_econ_ok,hispanic_econ_ok,ela,-0.455,124,-14.882,12.856,0.216
white_econ_ok,male,ela,-0.333,136,-15.387,12.117,0.223
white_econ_ok,white,ela,-0.153,139,-3.819,5.597,0.265
white_econ_ok,white_econ_dis,ela,0.017,102,-15.770,9.270,0.268
white_econ_ok,white_econ_ok,ela,nan,139,0.000,0.000,0.265
